,title,description,title_label,description_label
36,여수  여행 코스  혼자  뚜벅이  여행 지 다녀왔어요,오랜만에 혼자 전라도 여행을 다녀왔는데요  서울에서 전남은 차로 가기에는 부담스러워서  를 타고  그리고 요즘 전시에서 사진이 또 빠질 수 없는데  혼자 여행  가도 거울을 통해 촬영이 가능한 전시  ,1,1
37,소형케리어 나  혼자 여행 에 딱이예요 ,특히 혼자 갔던 여행이다 보니까 무엇보다도 보안이 가장 중요한 부분이었어요  친구들과 함께 가면 잠깐 자리를 비워야 할 때 짐 걱정 없이 돌아다닐 수 있는데  혼자 여행 을 하다 보니 그럴 수가 없어서 꼭  ,1,1
38,  여름 포항 울산 부산  박 일 여자  혼자  뚜벅이  여행      ,  여자  혼자 여행 할 때  괜찮은 선택지   인실 게스트하우스 추천   포항 오다가다   부산 싱글싱글   여름 포항 울산 부산  박 일 여자 혼자 뚜벅이 여행 프롤로그   교통 기차 버스 택시  일정  숙소 인실  ,1,1
39, 혼자  떠나는 스페인  여행  렌페 기차  타고 발렌시아로, 그까짓 거 혼자 잘 수도 있지 그게 뭐라고  호들갑이야  할 수 있는데  소심 대마왕인 나에게는 이조차도 용기다   살에 첫 해외여행이자  혼자 여행 이었던 일본 배낭여행 이후 몇 년 만인지 감개가 무량할  ,1,1
40, 년  일상기록  제주도  혼자여행   일차,  일상 제주도  혼자여행   일차 벌써 제주도  일차  제주도 일정 중 젤 기대됐던 곳  가파도  홀로여행기   오늘도 시트콤인생  졔 수난시대 앞으로도 계속되니 기대해주세여  ,1,1
41,  나트랑 여자  혼자 여행 하루종일 먹고 수영하고 돈 쓰고,ㅋㅋㅋ 진ㅋ짜ㅋ 아무 생각없이 다닌 나트랑   여자 혼자 나트랑  나트랑 여행   나트랑맛집  아리야나  여자 혼자 해외 여행   나트랑마사지  나트랑맛집  나트랑담시장  담시장  담시장착한할아버지  ,0,1
42, 방콕 파타야  혼자여행  파타야 이발하기  헤어살롱  , 방콕 파타야  혼자여행  파타야 이발하기  미용실 이발소  날씨가 무척 좋았던 파타야  여행 전에 일기예보를 보니까  주일 내내 비가 온다고 되어 있어서 걱정했는데 의외로  주간의 여행기간 중 비가 제대로 온  ,1,1
43, 혼자  부산 기차  여행  부산 용두산 공원 전망대 볼거리 부산 타워,도착해서는 렌트카로 이동하니 시간도 절약되고 얼마나 편하고 좋은지 종종 혼자 부산 여행을 다녀와야 할듯하다  부산 기차여행 부산  혼자 여행    부산 용두산공원 주소  부산 중구 용두산길   운영시간  ,1,1
44, 유럽 포르투갈 여행 포르투  박 일 나 혼자여행 이지젯  ,ㅋㅋㅋㅋㅋㅋ 열쇠 화장실은 개인용이지만 방 밖에 있다 ㅋㅋㅋㅋㅋ 속았다  혼자 쓰기에 좋은 방과 욕실 숙소에 짐을 풀고 본격적인 포르투 여행  시작  저 마차같은 빨간차 타보고 싶군 걷다보니 더웠다  ,1,1
45,후쿠오카  혼자 여행  코스 일정 오호리공원 맛집,오호리코엔 산책하고  혼자  맛집에서 식사까지 큰바다소년   늘  혼자  떠나는 후쿠오카  여행 은 지난  월 다녀온 후기입니다  구시다신사에서  년 처음 활짝 핀 벚꽃을 보고는 다음날 오전에 찾아본  ,1,1
46,영월 여행코스  박 일  혼자여행  경비 총정리,영월 여행코스  박 일  혼자여행  경비 총정리 나 진심 이제 막 와서 피곤에 쩔쩔매고 있는데 다녀온 거  여기서 혼자서 다른 사람들과 단절된채 살다가 어린 나이에 돌아가셨다는게 참 씁쓸하고 안타까웠다  ,1,1
47,도쿄  혼자여행   일차  츠키지시장  긴자 맛집 카페 추천,도쿄여행 마지막날 ㅠㅠ 시긴이 정말 순삭이다  혼자도 이렇게 재밌다니  도쿄여행  일차 긴자   센트레  도쿄 여행도 처음   혼자 여행 도 처음이었는데 볼게 너무 많고 할것도 너무 많아서  혼자 여행 하기에도  ,1,1
48,여자 혼자  파리 여행      오르세미술관  오랑주리  ,  여자혼자 파리여행  박 일   파리에서 다섯째날 스타트    일째부터는  혼자여행 이 아닌 친구들이랑 함께   혼자 여행 을 선호하는 사람이라 자유시간이 필요한데 이번에는  이상을 함께여행함  이건  ,1,1
49,오사카   프리미엄 캡슐호텔 신사이바시점  혼자 여행  ,    헤드위그 오사카   프리미엄 캡슐호텔 신사이바시점  혼자 여행  하기 편한 숙소 오사카  소통하면서 여행을 다니곤 했다  펜데믹 후에 하늘길이 열리면서 다시 한번 해외로 나가게 되면서 혼자  ,1,1
50,단양  혼자 여행   일차,단양  혼자 여행 을 키워드로 검색 했을 때 이곳이 적합할 것 같아서 썸데이 게스트 하우스를 택하게 되었다  평일에 가는 여행이고  평일엔 여행객이 많지 않을 것 같아서  인 실을 택했는데 운 좋게도 혼자  ,1,1
51, 혼자 여행    안동 여행코스 및 여행지 추천,혼자 안동 여행을 다녀왔어요  가기 전에 안동에서 대학을 나온 지인과 안동이 고향인 인친님들의  고른 여행지 및 여행코스였는데 결과적으로 아주 만족스러웠어요   혼자 여행  안동 여행코스 및 여행지  ,1,1
52,나  혼자  일본  여행  유후인 나나카와 료칸,객실에 혼자 묵는 경험은 정말 특별했어요ㅎㅎㅎ 승무원 시절  혼자 여행 을 정말 많이 했고 혼자서도  함께 하는 여행은 물론 즐겁지만 나는 이상하게도 나중에 돌이켜볼 때 혼자 떠났던 여행이 더 오래오래  ,0,1
53,강원도 강릉  혼자 여행    초당순두부마을 맛집  동화가든 본점  ,바로  혼자 여행 하기  백수 시절을 보내고 있는 지금이 적기라서 더 늦어지기 전에 호텔 특가 떴을 때 바로 여행 일정을 잡았다  일단 숙소만 잡고 아무 계획 따위 없는  의 여행 출발 전 친구네 회사 앞에서 커피  ,1,1
54,여자  혼자  부산 여행    광안리 혼술 하기 좋은 광안사카바  ,정말 오랫만에 여행다녀온 부산  그리고 광안리와 사랑에 빠졌습니다 다음에도 부산가면 꼭 광안리로   혼자여행 의 좋은점  혼자라 어디든 잘 낑겨서 먹을 수 있습네다  이래서 광안사카바를 광안리 혼술하기  ,1,1
55, 태국 방콕 혼자여행  팟퐁 야시장 구경   방콕   신용카드로  ,야시장은 크게 볼 건 없었는데 예상치 못한 버스킹 공연으로 나름 즐거운 저녁시간을 보낸 것 같다  숙소 근처 와서 라이브펍에서 공연과 맥주를 더 즐기다가 잤다   태국여행  방콕 혼자여행   팟퐁야시장  방콕 ,0,1
56,제주 관광지 제주도 수국 명소 제주 숨도  혼자여행 ,항상 남편과 함께 제주도 여행을 했지만 이번에는 제주  혼자여행 을 하게 되었다  뭐  혼자여행 하는 것도 나쁘지 않다  수국정원을 배경으로 한라산과 서귀포시의 모습이 오버랩 되었다  그래서 그런지  ,1,1
57,여자  혼자  대만 타이베이 자유 여행    말할수 없는 비밀의 그 곳  ,대만 여행 단수이   대만 홀로 여행 이야기 계속해서  대만에서의 혼자만의 시간을 즐길수 있는   단수이  대만단수이  타이베이단수이 단수이는  혼자여행  뚜벅이들에게 참 가기좋은곳  물론 전철 완전  ,1,1
59,일본 후쿠오카  혼자여행 인천공항에서 후쿠오카공항까지 시간  ,일본 후쿠오카  혼자여행  인천공항에서 후쿠오카공항까지 시간 때우기 인천공항에 일찍 도착 후 체크인 카운터 위치 확인했어요  저번 여행때 못 본 장식들이 있어서 잠시 구경  제주항공 카운터는  카운터  ,0,1
61,대학생 여자 혼자  스페인 여행  후기   로맨틱유로 세미패키지,여자혼자 스페인여행이었지만 이 때 만난 친구들이랑 아직까지 연락하고 일년에 몇번 씩 만나는 찐친이 되었답니다   혼자 여행 하는 것에 대해서 살짝 걱정이 되거나 멋진 여행지에서 새로운 친구들과 함께  ,0,1
62,오사카  혼자 여행 코스 나카자키초 카페거리 살롱드아만토 추천,오사카로  혼자 여행  갔던 날이에요  혼자서 일본 여행은 처음이라 살짝 긴장된 마음을 가지고 있었는데요  여행을 시작하기 전 인스스에  오사카 갈만한 곳  멋진 곳 알려주세요  하고 올린 저의 질문을 본 제  ,1,1
63,제주도  혼자여행  당일치기 버스투어하고 인생샷남긴 리뷰,오늘은 제주도  혼자여행  꿀팁을 좀 리뷰해볼까해요  머리 아프게 제주에서 렌트카와 숙소를 생각하지 않아도 제주도 당일치기 버스투어가 가능하고 아무래도 혼자이다 보니 내 사진은 항상 남지 않고 풍경  ,1,1
64,일본  혼자여행  계획할때 알아두어야할 기본정보,그러나 상황이 바뀌고 있으며 최근 몇 년 동안  인 여행객을 위한 플랜을 제공하는 료칸이 많이 증가했습니다  일본 혼자여행  식사 일본에서 혼자 식사하기가 쉬워졌으며 많은 장소에서 혼자 식사를 할 수 있도록  ,1,1
65, 안동 숙소 혼자 여행 안동풍경호스텔     도미토리 후기,채우고  혼자 가려니까 이것저것 챙김 ㅋㅋㅋ  가다가 처음 만난 휴게소에서 점심겸 저녁도 먹었어요  북스테이 한번 더 도전해보겠습니다   안동여행  안동북스테이  안동 혼자여행   안동숙소  안동숙소추천,1,1
66,일본 후쿠오카  혼자여행  이치란 본점 돈코츠라멘,일본 후쿠오카  혼자여행  이치란 본점 돈코츠라멘 일본 후쿠오카  혼자여행 의 첫 일정은 이치란  저번 여행 때는  시간영업 안 했는데  이제 관광객이 많이지니  시간 영업을 하네요  주말 아침 웨이팅   ,1,1
67,공주  혼자여행  숙소 슬로크루즈 더블룸 후기,슬로크루즈 공주  혼자여행 에 적당한 호텔 공주여행 숙소로 지냈던  슬로크루즈 에 대한 후기입니다  슬로크루즈는 커뮤니티 호텔이라는 이색적인 컨셉을 갖고 있어요  혼자 조용히 지낼 사람들은 조용히 지낼 수  ,1,1
68, 혼자 여행 한다는 건 , 혼자 여행 한다는 건  점심으로 걸어 다니며 빵을 먹어도 된다는 거다  먹는 것에 신경 쓰지 않고 가고 싶은 곳에 갈 수 있다  혼자 하는 여행은 배가 고프지 않다  몸의 모든 감각이 깨어 있다 보니 식욕에게  ,1,1
69,일본  혼자 여행  도쿄 숙소 추천 이비스 스타일 긴자 호텔,오늘은 특히 혼자  도쿄여행 갈 때 추천하는  긴자호텔 이비스 스타일 도쿄 긴자        ㅎㅎ 그래도 있을 건 다 있고 나름 아늑해서  혼자여행  할 때 숙소로 딱이에요  혼자 자기에 부족함 없는  ,1,1
70,부담없었던 전주  혼자여행 ,부담없었던 전주  혼자여행  최근 혼자서 여행을 다녀오시는 분들이 많아졌는데요  내가 원하는 날짜 시간과 장소를 선택하여 마음껏 돌아다닐 수 있다는 장점에 많은 여행객이  혼자 여행 을 선택하고 있습니다  ,1,1
71,춘천 김유정역 사진찍기 좋은곳 국내  혼자 여행 ,이렇게 국내  혼자 여행  삼아 찾은 사진찍기 좋은곳  춘천 김유정역을 소개해 보았습니다  조용조용한 여행지로 경춘선 전철을 이용하다가 잠시 구경하기 좋은 곳이었어요 ,1,1
72,시드니  혼자여행      왓슨스베이    ,작은에뚜알의 시드니  혼자여행 기   첫째날 두 번째 이야기 입니다   인천공항   시드니  아마 시드니 여행하시면서 지겹도록 가게 될 거예용 ㅎㅎ 저는    번으로 가서  게이트에 탑승  ,1,1
73,여자 혼자  파리 여행      팔레루아얄      ,여자혼자파리여행 둘째날 이렇게 끄으읕 여자혼자파리여행 여자혼자유럽여행 파리여행 프랑스여행  카페아티산 파리카페추천 파리 혼자여행 맛집 친구랑파리여행 파리 일여행 센강산책 에펠탑피크닉,1,1
74,국내  혼자여행  방법 우중캠핑 그리고 여행준비물, 혼자여행 을 생각해 보면  지금까지 해외여행을 혼자서 해본 경험이 없으며 국내  혼자여행 이  였으므로 기억된다  그리고 그  혼자여행 은 많은 경우가 캠핑을 수단으로 하고 있기에 여행준비물에 먹거리가  ,1,1
75, 년  일상기록  제주도  혼자여행   일차,제주도  혼자 여행 하시는 분들도 많고  생각보다 남 눈치나 신경 쓰지 않고 혼자만의 시간을 온전히 즐기는 내 자신에게 너무 놀랍고   이번 여행은 나한테만 집중하기 위해 온 것이기에 이 시간 잘 즐겨보는걸로  ,1,1
76,경주  혼자여행   탄   낮의 동궁과 월지  첨성대  예쁜  ,갔는ㅤㄷㅔㅋㅋㅋㅋ  혼자 있고 싶었어여  사람 두명이 있었다  근데 내가 옆에 앉으니까 금방 일어나길래  보러가기   경주여행  동궁과월지  첨성대  경주  여행  혼자여행   국내여행  경주여행지  여행지추천  ,1,1
77, 혼자  제주도  여행  마냥 즐기기 첫째날    강한추천 ,하다가 혼자 떠납니다  정말 잘 다녀왔다 생각이 드는 혼자 제주도 시작   부산 가자는 친구들의 유혹  렌트를 하실 분들은 미리 하고 가시는것 추천   혼자 여행 하는거라 더욱 차가 필요하다고 생각했다  ,1,1
78,울산 대왕암공원 출렁다리 익사이팅 울산  혼자 여행 ,유유자적하며 여유만만하게 즐기는  혼자 여행  이렇게 또 울산 여행의 한 곳에 발자국을 남기고 발길을 돌리면서 느끼는 감성은  나이테가 많아질수록 혼자 잘 노는 것도 능력이고 기술이란 생각이다  ,1,1
79,여자 혼자  뚜벅이로  박 일 제주도  여행 일차 일주동로 버스  ,예정인데  여행 중에 일기는 그 날 그 날 썼지만 여정도 당일날 써볼걸 싶다  뒤늦었지만  혼자 여행  바다가 흐리긴 했지만  조용히 혼자 바다를 바라보며 먹는 맛도 괜찮았다  먹고나서 평대리 산책  물론  ,1,1
80,낭만적인 춘천  혼자여행 ,낭만적인 춘천  혼자여행  혼자 떠나기 좋은 국내여행지로 볼거리가 다양하고 자연과 예술이 공존하고 있는 춘천에 대해서 알려드리려고 하는데요  여행 중 소중한 시간을 보내는데 보다 큰 힘이 될 것이라  ,1,1
81,나혼자 산다 놉 나 혼자 여행 한다 베트남 자유여행 달라 달라 달랏,건기보다 여행하기는 더 좋을 수도 있어요 야시장으로 추울바알알알알 고고 꼬   나 혼자 여행  나혼자 산다 달랏 여기 소수민족 분들이신가 저렇게 춤도 추고 하시더라고요 ㅎㅎ 정말 한참을 쳐다봤어요 다른  ,1,1
82,제주  혼자 여행 ,아주 싹싹비우고 나옴 ㅎㅎ  혼자 여행 이 처음이었지만 별생각없이 출발했는데 뭔가 고생했던 게 더 기억에 남는다 그래도 뚜벅이로써 오래 걸으니 생각정리도 되고 좋았다  하지만 앞으로 제주여행은 무조건 렌트,1,1
83,여자  혼자 유럽 여행   주간 다녀온 후기 일정 총정리,여자 혼자 유럽 여행 다녀온 후기 댓글로 물어보신 분들도 있지만 거의 자문자답   혼자 여행 을 가게 된 이유   살  갑자기 유럽여행을 가고 싶다는 생각이 들었다  무엇에 그리 이끌렸는지 기억은 나지 않지만  ,0,1
84,호주여자 혼자여행  호주 포트스테판에서 사막 샌딩 보드를  ,호주 혼자여행  포트스테판 사막여행 호주 사막 호주 시드니에 그저 친구를 만나러 도착 한 나는 유명한  혼자 참여 한 사람이 나 혼자였던 것 같다  그 외에는 가족단위였는데 가이드분이 사진을 찍어줬다  ,0,1
85, 혼자  국내 여행  충청도  여행 지 논산 탑정호출렁다리,혼자 국내여행 충청도 여행지 논산 탑정호출렁다리를 가시게 되면 주차장이나 관람사항을 알아두시면 좋을듯 합니다  여기까지 마무으리  팬하기  국내 혼자여행 ,1,1
86,국내여행 추천 강릉 오죽헌 강릉  혼자 여행  강릉 갈만한곳,강릉 오죽헌 국내여행 추천 강릉  혼자 여행  강릉 갈만한곳 글  사진   순수시대 주세환 솔향 가득한 강릉에서 커피향 가득한 강릉으로 바뀐 것 같다  언제부터인지 몰라도 강릉을 여행하면 유적지를 찾는  ,1,1
87,아주 사적인 제주도 박 일 여행코스 제주  혼자여행 ,아주 사적인 제주도 박 일 여행코스 제주  혼자여행  심심할때 가끔 제주도를 다녀오다보니 딱히  제주  혼자여행 처럼 언제나 혼자지요  짧은 올레길도 걸어봤어요  정감가는 돌담에 한창 일하고 있는 농부  ,1,1
88, 울산 혼자여행   울산동헌 및 내아  울산 가볼만한곳  ,울산동헌 및 내아  울산동헌  울산동헌및내아  울산가볼만한곳  체크인챌린지  울산 혼자여행  이번에는  이제는 혼자서도 삼각대 두고 잘 찍고 놉니다 ㅎㅎ 울산동헌 및 내아 내아 앞에는 앞전에 행사를 해서  ,1,1
89, 혼자  제주도  여행  마냥 즐기기 오픈카 도민맛집 게하  ,오마카세   혼자서도 참 잘 노는편  ㅋㅋㅋㅋ   혼자 여행 간다고 하니 잠깐 좋고 심심해서 핸드폰만  몸이 좋지 않아 여행을 하게 된것이고 잠에 예민한 편이라 시끄럽고 정신없는 게하들은 싫었다  리뷰를  ,1,1
90, 년 만에 다시 가봤어  정동진   강릉  혼자여행     , 의  여행  보시죵  기차 안에서 맞이한 동해바다는 어메이징 에메랄드  세상에 시간만에 도착  이곳은  혼자 라도 택시가 최고네요 걍 무조건   식비보다 교통비 더 든거 킹받네  예쁘죠  사실 여기땜에  ,1,1
91, 태국 방콕  혼자여행  나나 아속역 라이브바 투어   힐러리  , 태국 방콕  혼자여행  나나 아속역 라이브바 투어   힐러리    년  월 태국여행  방콕 이번 여행에서는 밤에는 주로 라이브바 투어를 다녔다  술과 음악  그리고 낯선 분위기는 여행지에서의 밤에 최고의 조합이  ,0,1
92,  보라카이 무계획  혼자 여행    출국 당일  ,혼자 가면 대충   짜리 먹으면 된다  한국인 사장님이 하는 곳이라 가면 한국인 밖에 없지만 그만큼  난  혼자여행 을 진짜진짜 좋아하지만 밥먹을 때 만큼은 서럽다  파스타도 모닝글로리도 먹고싶다구요  ,1,1
